Bp_ConsBp_seq_M,Bp_ConsBp_seq_status,Bp_L0HadronDecision_TOS,Bp_L0HadronDecision_TIS,Bp_L0MuonDecision_TIS,Bp_L0ElectronDecision_TIS,Bp_L0PhotonDecision_TIS,Bp_Hlt1TrackMVADecision_TOS,Bp_Hlt1TwoTrackMVADecision_TOS,Bp_Hlt2Topo2BodyDecision_TOS,Bp_Hlt2Topo3BodyDecision_TOS,Bp_Hlt2Topo4BodyDecision_TOS,Bp_ConsBp_seq_decayLength,Bp_ConsBp_seq_tauminus_0_decayLength,Bp_ConsBp_seq_tauminus_decayLength,taup_DIRA_ORIVX,taum_DIRA_ORIVX,Bp_DIRA_OWNPV,taup_ENDVERTEX_X,taum_ENDVERTEX_X,taup_ENDVERTEX_Y,taum_ENDVERTEX_Y,taup_ENDVERTEX_Z,taum_ENDVERTEX_Z,Bp_ConsBp_seq_chi2
5395.252,0.0,True,False,False,False,False,True,True,False,False,False,11.952288,4.0769153,0.31378067,0.9953203359145487,0.9999970908403117,0.9999964565787028,0.0039,-0.2312,0.8319,1.0081,36.3805,40.0286,2.4296272
5257.8467,0.0,True,False,True,False,False,True,True,False,True,True,30.544657,2.84477,-1.0799114,-0.9993369324647662,0.9999977995038787,0.9999992145392353,-1.1495,-1.3809,1.7233,1.8685,53.727,57.3116,7.5685267
5620.941,0.0,False,False,False,False,False,False,False,False,False,False,19.904062,-1.3583275,4.623624,0.9999681010328666,-0.9999986598210249,0.9999908502903894,-0.8693,-0.4267,1.4953,1.1456,48.5778,42.7409,5.8322515
5407.353,0.0,False,False,False,False,False,False,False,False,False,False,21.515207,1.0763295,8.554502,0.9999958196100429,0.9995641309612853,0.9999753019927711,2.7084,2.2752,0.9878,0.8517,-16.437,-23.9734,10.446335
5207.217,0.0,False,False,False,False,False,False,False,False,False,False,20.54127,10.346789,0.6106636,0.999392490428593,0.9999958082772409,0.9999966184529052,2.1461,2.912,0.7669,1.1071,-25.5203,-15.671,0.89912075
5750.737,0.0,False,False,False,False,False,False,False,False,False,False,47.554752,-3.095906,-0.74873304,-0.9987007998558363,0.9999900097337733,0.9999804954869977,3.7998,4.0207,1.5647,1.6267,0.256,4.0914,1.6650537
4801.522,0.0,False,False,False,False,False,False,False,False,False,False,10.990501,6.8563404,9.727397,0.9999706787169554,0.9999783158828098,0.9999752978796118,2.2196,1.8657,0.753,0.792,-25.8349,-28.6791,5.4065137
5029.1226,0.0,False,True,False,True,False,True,True,False,False,False,14.707189,3.2365098,0.5176986,0.9707215146028779,0.9999845092389357,0.9998414536200504,-1.1813,-1.4863,-1.6719,-1.9934,1.6528,4.3292,14.110062
5297.6787,0.0,True,True,False,True,False,True,True,True,False,False,9.411898,4.178637,1.596697,0.999680076829984,0.9999739643781707,0.9999959066639553,-0.5193,-1.0448,-1.2015,-1.4189,-2.5113,0.0425,4.3784504
5137.026,0.0,False,True,False,True,False,True,True,True,True,True,14.547571,0.78639376,3.018319,0.9999910206694617,0.9984768402049177,0.9999736282314099,-1.4758,-1.1711,-2.0602,-1.68,3.9719,1.7794,5.456516
5016.605,0.0,False,True,False,True,False,True,True,False,False,False,23.919865,0.44538352,1.8873413,0.9999743084676406,-0.7360154109904102,0.9999590448370097,-2.5598,-2.3916,-2.9186,-2.799,12.0673,10.6314,6.431929
5009.8877,0.0,False,False,False,False,False,False,False,False,False,False,44.051662,0.4470783,5.042901,0.999975631203454,0.9877790487844874,0.9999576103180894,4.8575,4.5201,-0.4633,-0.4117,68.9837,64.3804,7.161772
5016.688,0.0,True,False,False,False,False,True,True,False,False,False,24.897905,13.049954,3.423148,0.9997720234473843,0.9999969708857415,0.9999979074680065,3.2795,3.9032,-0.2468,-0.1889,48.3066,57.9375,7.476377
4252.7285,0.0,False,False,False,False,False,False,False,False,False,False,15.035039,-0.6131732,1.191784,0.9999774399724775,-0.9999899314223052,0.9999762238163304,2.2215,2.0515,-0.0303,0.0061,36.2322,34.4345,5.3517504
5688.481,0.0,True,False,False,False,False,True,True,True,True,True,26.109625,14.549721,1.0276129,0.9999655730186165,0.9999993336384448,0.9999996870263957,3.1151,3.9522,-0.1792,-0.3902,47.0662,60.6177,4.3322563
5307.026,0.0,False,False,False,False,False,False,False,False,False,False,7.233693,14.069951,3.894394,0.9999745664315488,0.9999960333768653,0.9995736060973478,1.8304,2.3103,0.0489,-0.3648,31.1318,41.3418,7.613365
